,db,accuracy
0,./csv/abalone.csv,0.47527910685805425
1,./csv/adult.csv,0.8162555020984748
2,./csv/australian.csv,0.8115942028985508
3,./csv/drugs.csv,0.2756183745583039
4,./csv/fertility.csv,0.8
5,./csv/german.csv,0.7066666666666667
6,./csv/glass.csv,0.9846153846153847
7,./csv/heart.csv,0.7160493827160493
8,./csv/ionosphere.csv,0.839622641509434
9,./csv/pendigits.csv,0.9578532443905398
10,./csv/phishing.csv,0.9580946638528791
11,./csv/failures.csv,0.9197530864197531
12,./csv/shuttle.csv,0.9986206896551724
13,./csv/spam.csv,0.9073135409123824
14,./csv/wdbc.csv,0.9707602339181286
15,./csv/wifi.csv,0.9683333333333334
16,./csv/wine.csv,0.9444444444444444
17,./csv/zoo.csv,0.9354838709677419
18,./csv/breast.csv,0.96875
19,./csv/stability.csv,0.9996666666666667
20,./csv/student.csv,0.9899497487437185
21,./csv/leaf.csv,0.5784313725490197
22,./csv/kidney.csv,0.9666666666666667
23,./csv/traffic.csv,0.5121951219512195
