,db,accuracy
0,./csv/abalone.csv,0.5239234449760766
1,./csv/adult.csv,0.8021291841539564
2,./csv/australian.csv,0.7922705314009661
3,./csv/drugs.csv,0.1696113074204947
4,./csv/fertility.csv,0.8
5,./csv/german.csv,0.7366666666666667
6,./csv/glass.csv,0.9384615384615385
7,./csv/heart.csv,0.8148148148148148
8,./csv/ionosphere.csv,0.8301886792452831
9,./csv/pendigits.csv,0.8502122498483929
10,./csv/phishing.csv,0.6261682242990654
11,./csv/failures.csv,0.9444444444444444
12,./csv/shuttle.csv,0.8724137931034482
13,./csv/spam.csv,0.8204199855177408
14,./csv/wdbc.csv,0.631578947368421
15,./csv/wifi.csv,0.98
16,./csv/wine.csv,0.9814814814814815
17,./csv/zoo.csv,0.967741935483871
18,./csv/breast.csv,0.875
19,./csv/stability.csv,0.9753333333333334
20,./csv/student.csv,0.8844221105527639
21,./csv/leaf.csv,0.7058823529411765
22,./csv/kidney.csv,0.9333333333333333
23,./csv/traffic.csv,0.5121951219512195
